record_id,workload_type,compute_demand_TFlops,storage_demand_TB,network_demand_Gbps,energy_source,energy_consumption_kWh,renewable_share_percent,carbon_emissions_kgCO2,qso_optimization_score,uncertainty_factor,security_level,pqc_enabled,energy_efficiency_index,service_quality_index,secure_operations_score,workload_scenario,scenario_strategy,operational_cost_usd,performance_metric
DC0019,Web Hosting,264.95,9.64,41.01,Hybrid,15818.56,70.2,552.08,0.144,0.83,Medium,0,0.694,0.735,0.648,Low,Carbon-Neutral Objective,111899.74,0.857
DC0020,Cloud Storage,388.44,127.0,7.07,Solar,28607.01,81.88,314.54,0.442,0.704,High,0,0.548,0.977,0.58,Medium,Energy-Efficient Focus,190869.62,0.944
DC0021,IoT Processing,264.88,190.33,35.21,Grid,40386.44,93.95,557.09,0.334,0.946,Low,1,0.957,0.558,0.718,Medium,Carbon-Neutral Objective,40156.58,0.795
DC0022,IoT Processing,427.57,120.72,11.54,Hybrid,7720.28,11.81,800.86,0.522,0.409,Quantum-Safe,1,0.546,0.973,0.701,Low,Balanced Approach,146206.52,0.654
DC0023,Database Queries,280.43,164.02,80.92,Grid,29454.26,23.84,1888.82,0.586,0.662,High,0,0.824,0.867,0.788,Peak,Energy-Efficient Focus,163386.71,0.716
DC0024,IoT Processing,284.86,176.96,94.79,Grid,25769.93,89.76,1240.23,0.008,0.465,Quantum-Safe,1,0.707,0.819,0.792,High,Performance-Driven Strategy,137430.12,0.865
DC0025,IoT Processing,439.56,46.39,7.7,Hybrid,8059.86,51.27,1678.2,0.761,0.631,High,1,0.703,0.823,0.875,Medium,Balanced Approach,123349.84,0.845
DC0026,IoT Processing,207.71,43.2,95.53,Wind,31575.93,60.81,1435.19,0.713,0.45,Quantum-Safe,1,0.84,0.913,0.755,Low,Balanced Approach,115138.49,0.812
DC0027,Cloud Storage,75.67,122.59,52.5,Hybrid,14408.38,69.67,269.38,0.366,0.189,Medium,1,0.534,0.553,0.552,Low,Conventional,172881.44,0.873
DC0028,Web Hosting,24.1,82.79,30.31,Hybrid,24903.88,71.12,1485.04,0.053,0.508,Quantum-Safe,1,0.797,0.752,0.929,Peak,Performance-Driven Strategy,165221.09,0.855
DC0029,Web Hosting,380.02,168.13,8.15,Solar,5031.34,93.86,586.44,0.755,0.529,Medium,1,0.886,0.849,0.655,Renewable Boost,Energy-Efficient Focus,28846.3,0.953
DC0030,Database Queries,313.95,180.1,50.31,Grid,23519.62,99.73,1296.26,0.955,0.811,Medium,1,0.914,0.793,0.986,Low,Balanced Approach,170474.59,0.834
DC0031,Cloud Storage,355.0,71.33,79.55,Grid,16016.71,74.81,714.88,0.24,0.736,High,0,0.585,0.916,0.559,Medium,Performance-Driven Strategy,85743.38,0.911
DC0032,IoT Processing,114.35,48.14,70.86,Grid,41296.68,35.85,1995.46,0.324,0.664,Low,1,0.949,0.536,0.979,High,Balanced Approach,54470.88,0.699
DC0033,Web Hosting,76.82,156.32,5.5,Grid,3791.96,89.18,563.93,0.184,0.113,Quantum-Safe,1,0.828,0.845,0.546,Low,Carbon-Neutral Objective,174604.87,0.871
DC0034,Cloud Storage,17.13,55.69,7.75,Grid,21511.76,14.43,594.3,0.577,0.721,High,0,0.941,0.767,0.616,Low,Balanced Approach,89244.84,0.961
DC0035,Cloud Storage,181.79,164.7,40.59,Solar,23463.14,30.8,1864.81,0.155,0.5,High,1,0.743,0.69,0.523,High,Conventional,162631.11,0.754
DC0036,AI Training,299.06,85.32,29.88,Grid,36525.3,90.76,98.06,0.356,0.894,Medium,1,0.771,0.67,0.853,Medium,Balanced Approach,56363.7,0.912
DC0037,IoT Processing,202.2,133.84,23.62,Grid,29140.09,33.06,1408.54,0.697,0.92,Medium,1,0.96,0.81,0.925,Renewable Boost,Conventional,5766.22,0.89
DC0038,Cloud Storage,224.36,20.01,28.46,Hybrid,33693.4,29.86,1464.39,0.56,0.055,High,1,0.95,0.945,0.717,Medium,Conventional,101614.54,0.624
DC0039,Database Queries,453.04,125.15,80.45,Hybrid,39075.41,22.43,1680.94,0.386,0.821,Low,1,0.724,0.748,0.964,Peak,Conventional,24544.51,0.833
DC0040,IoT Processing,180.65,90.9,92.96,Hybrid,43247.95,87.32,1950.16,0.42,0.038,Quantum-Safe,1,0.637,0.912,0.795,High,Conventional,152103.31,0.652
DC0041,Web Hosting,261.85,117.74,40.81,Grid,16379.9,55.01,1952.42,0.562,0.367,High,1,0.697,0.701,0.815,High,Conventional,58834.65,0.987
DC0042,IoT Processing,393.99,34.43,90.66,Wind,27363.11,70.74,177.29,0.006,0.542,Low,0,0.694,0.551,0.923,Peak,Balanced Approach,91510.9,0.925
DC0043,IoT Processing,204.31,147.64,32.49,Hybrid,42165.3,31.52,1652.59,0.079,0.148,Low,0,0.643,0.531,0.648,Medium,Conventional,21971.55,0.644
DC0044,Cloud Storage,314.82,172.7,47.91,Hybrid,49483.11,78.22,1310.3,0.881,0.746,Quantum-Safe,1,0.634,0.526,0.677,Renewable Boost,Performance-Driven Strategy,60898.55,0.649
DC0045,Web Hosting,432.56,44.13,22.99,Wind,44586.45,78.4,1312.32,0.078,0.008,High,0,0.931,0.69,0.953,Peak,Performance-Driven Strategy,157390.6,0.838
DC0046,IoT Processing,475.27,20.05,64.23,Wind,19201.9,38.13,300.28,0.707,0.169,Low,1,0.535,0.669,0.95,Low,Performance-Driven Strategy,34559.64,0.738
DC0047,Cloud Storage,82.07,5.7,97.91,Solar,10563.16,46.96,1317.86,0.92,0.581,Low,1,0.839,0.859,0.988,Renewable Boost,Performance-Driven Strategy,131196.11,0.614
DC0048,Database Queries,464.03,128.75,60.55,Hybrid,24980.23,28.87,1965.84,0.271,0.714,Quantum-Safe,1,0.586,0.871,0.951,Renewable Boost,Energy-Efficient Focus,183898.04,0.817
DC0049,Cloud Storage,251.14,121.81,36.1,Wind,37340.43,97.89,1828.05,0.37,0.917,Medium,0,0.672,0.525,0.564,Medium,Carbon-Neutral Objective,137568.17,0.755
DC0050,AI Training,136.54,109.79,64.96,Hybrid,25135.88,68.1,906.3,0.569,0.705,Low,1,0.531,0.611,0.912,Low,Conventional,163149.23,0.64
DC0051,Web Hosting,234.98,47.16,12.73,Wind,24675.86,94.11,127.9,0.882,0.672,Low,0,0.635,0.637,0.705,Low,Performance-Driven Strategy,26249.47,0.921
DC0052,AI Training,490.22,78.79,88.92,Wind,42073.29,37.3,756.47,0.942,0.394,Medium,0,0.884,0.774,0.995,Low,Conventional,53892.71,0.966
DC0053,AI Training,251.38,119.3,50.56,Solar,18708.79,80.37,1661.46,0.74,0.001,Low,1,0.943,0.572,0.736,Medium,Conventional,179435.08,0.903
DC0054,Web Hosting,171.09,99.86,45.21,Solar,43129.94,78.93,1417.92,0.087,0.12,High,1,0.611,0.567,0.777,Medium,Balanced Approach,144445.59,0.929
DC0055,Cloud Storage,320.37,197.57,58.79,Grid,20933.44,72.25,945.72,0.669,0.535,Quantum-Safe,0,0.732,0.972,0.765,Medium,Carbon-Neutral Objective,129713.0,0.687
DC0056,AI Training,127.67,28.15,62.67,Solar,17083.42,96.91,157.45,0.41,0.675,High,0,0.735,0.902,0.661,High,Carbon-Neutral Objective,134434.51,0.705
DC0057,Web Hosting,47.17,139.33,7.64,Grid,23245.51,45.42,882.44,0.471,0.417,Low,0,0.937,0.59,0.538,Renewable Boost,Conventional,85769.11,0.683
DC0058,Cloud Storage,73.15,81.46,68.42,Wind,38359.9,21.76,964.6,0.049,0.731,High,0,0.881,0.703,0.948,Renewable Boost,Balanced Approach,13688.54,0.906
DC0059,IoT Processing,72.74,86.21,24.57,Grid,7174.1,70.45,1860.68,0.191,0.522,High,1,0.757,0.678,0.901,Peak,Conventional,157966.1,0.979
DC0060,Database Queries,84.43,143.8,71.54,Wind,10624.54,75.64,1300.12,0.791,0.074,Low,1,0.835,0.896,0.57,Medium,Energy-Efficient Focus,137349.08,0.887
DC0061,Web Hosting,78.03,138.79,82.34,Wind,47620.8,61.76,657.72,0.454,0.192,High,0,0.924,0.755,0.888,Renewable Boost,Balanced Approach,97196.87,0.953
DC0062,Web Hosting,324.03,198.26,80.49,Wind,9599.09,28.61,1074.37,0.302,0.84,Quantum-Safe,0,0.505,0.564,0.813,Low,Performance-Driven Strategy,180453.12,0.855
DC0063,Cloud Storage,99.12,26.55,55.47,Hybrid,28818.64,55.4,178.81,0.384,0.725,Low,0,0.701,0.869,0.705,Medium,Balanced Approach,70551.13,0.755
DC0064,Web Hosting,179.38,21.72,52.26,Hybrid,29386.41,38.1,1946.51,0.854,0.895,Medium,0,0.954,0.698,0.627,Peak,Energy-Efficient Focus,62392.74,0.77
DC0065,Web Hosting,449.43,145.14,14.72,Hybrid,24991.6,48.47,752.12,0.749,0.118,Quantum-Safe,0,0.87,0.631,0.93,Peak,Energy-Efficient Focus,175195.28,0.63
DC0066,Database Queries,242.24,116.1,77.65,Grid,32592.52,68.07,981.84,0.272,0.99,High,1,0.771,0.688,0.85,Medium,Performance-Driven Strategy,160412.59,0.613
DC0067,Database Queries,337.1,55.56,27.51,Grid,12261.51,77.07,742.8,0.118,0.209,Low,0,0.765,0.749,0.774,Peak,Balanced Approach,105421.06,0.878
DC0068,Database Queries,94.44,16.8,49.92,Wind,28080.45,30.9,1380.9,0.252,0.012,Medium,1,0.674,0.672,0.805,Medium,Energy-Efficient Focus,30493.27,0.775
DC0069,Web Hosting,104.22,18.05,28.79,Wind,19236.49,46.48,1341.35,0.921,0.997,Quantum-Safe,0,0.76,0.621,0.546,Renewable Boost,Energy-Efficient Focus,46938.94,0.821
DC0070,Cloud Storage,30.03,178.94,13.82,Solar,33421.7,34.22,1444.88,0.582,0.281,Quantum-Safe,0,0.828,0.699,0.737,Renewable Boost,Balanced Approach,132964.46,0.823
DC0071,AI Training,92.78,39.18,63.14,Wind,7919.95,27.88,572.88,0.533,0.668,High,1,0.709,0.51,0.597,Peak,Energy-Efficient Focus,80083.04,0.711
DC0072,AI Training,146.51,65.35,5.91,Solar,28972.99,80.5,665.55,0.596,0.177,Quantum-Safe,1,0.857,0.886,0.604,High,Conventional,168112.27,0.79
DC0073,AI Training,96.74,46.1,74.99,Grid,10078.25,91.83,294.24,0.366,0.58,High,1,0.931,0.585,0.831,High,Energy-Efficient Focus,190241.23,0.788
DC0074,Database Queries,53.46,71.64,32.1,Solar,14653.51,43.32,1328.24,0.807,0.904,Quantum-Safe,1,0.577,0.522,0.956,Renewable Boost,Carbon-Neutral Objective,162099.2,0.755
DC0075,IoT Processing,69.11,14.82,0.51,Hybrid,11716.78,77.62,127.6,0.523,0.32,High,0,0.726,0.827,0.702,Peak,Conventional,78621.36,0.928
DC0076,Cloud Storage,235.78,104.29,51.36,Solar,9959.05,90.73,1215.48,0.117,0.67,Low,0,0.704,0.887,0.604,Medium,Performance-Driven Strategy,158793.85,0.78
DC0077,AI Training,111.1,14.45,5.16,Hybrid,41459.84,86.15,1745.91,0.129,0.188,Quantum-Safe,1,0.844,0.907,0.824,Low,Energy-Efficient Focus,73531.13,0.841
DC0078,Database Queries,188.49,160.27,27.98,Hybrid,14999.67,26.45,1787.12,0.537,0.625,High,1,0.625,0.747,0.936,Medium,Energy-Efficient Focus,37584.52,0.958
DC0079,Database Queries,256.67,47.51,70.84,Hybrid,46429.07,96.07,925.62,0.937,0.336,Quantum-Safe,1,0.82,0.603,0.874,Peak,Conventional,11511.67,0.946
DC0080,IoT Processing,348.29,108.46,6.74,Solar,48526.4,43.9,945.64,0.308,0.211,Medium,1,0.939,0.869,0.934,High,Conventional,80214.76,0.956
DC0081,Web Hosting,29.26,176.14,84.01,Wind,28991.76,40.53,200.09,0.87,0.313,Quantum-Safe,1,0.709,0.85,0.768,High,Conventional,181194.06,0.708
DC0082,Cloud Storage,401.71,130.52,0.88,Wind,8007.06,15.62,1357.99,0.764,0.179,Quantum-Safe,0,0.956,0.623,0.876,Low,Conventional,51602.38,0.614
DC0083,IoT Processing,317.67,107.06,25.06,Wind,19352.86,53.76,1651.46,0.248,0.902,Quantum-Safe,1,0.997,0.952,0.57,Peak,Performance-Driven Strategy,45270.07,0.704
DC0084,Cloud Storage,50.06,65.54,74.22,Wind,40088.88,19.81,527.08,0.036,0.397,Medium,0,0.553,0.552,0.674,Medium,Energy-Efficient Focus,194115.05,0.711
DC0085,IoT Processing,438.05,67.27,31.97,Hybrid,19002.15,32.37,871.54,0.102,0.245,Quantum-Safe,1,0.617,0.991,0.695,Medium,Carbon-Neutral Objective,9875.8,0.964
DC0086,AI Training,461.23,134.23,10.64,Hybrid,5263.84,38.52,1685.74,0.728,0.448,Low,1,0.975,0.93,0.756,Renewable Boost,Conventional,158227.52,0.86
DC0087,IoT Processing,39.93,198.83,36.34,Solar,28282.46,82.79,1760.38,0.2,0.321,Medium,1,0.979,0.844,0.965,Medium,Balanced Approach,67667.14,0.633
DC0088,Web Hosting,145.67,132.71,27.4,Wind,42410.92,88.79,524.2,0.371,0.744,Low,0,0.549,0.969,0.937,Renewable Boost,Performance-Driven Strategy,12310.15,0.654
DC0089,AI Training,405.04,112.0,84.35,Hybrid,40000.39,37.22,1123.61,0.502,0.971,Medium,1,0.507,0.861,0.567,Low,Conventional,183971.5,0.662
DC0090,Web Hosting,376.65,146.4,31.68,Hybrid,9581.03,87.28,425.36,0.725,0.438,Quantum-Safe,0,0.581,0.595,0.586,Low,Carbon-Neutral Objective,32230.25,0.852
DC0091,Database Queries,100.42,93.58,79.0,Wind,33965.47,87.15,248.66,0.113,0.861,Low,1,0.998,0.721,0.679,High,Conventional,112596.96,0.894
DC0092,Database Queries,112.58,12.97,89.24,Wind,11804.71,78.82,1826.68,0.406,0.566,Quantum-Safe,1,0.59,0.536,0.645,Medium,Conventional,58440.57,0.944
DC0093,AI Training,191.53,112.9,43.66,Hybrid,11692.17,23.2,1649.99,0.485,0.157,Medium,0,0.751,0.695,0.807,Peak,Energy-Efficient Focus,17712.6,0.976
DC0094,Web Hosting,247.42,191.57,91.04,Hybrid,43829.52,72.13,1532.07,0.541,0.691,Low,0,0.924,0.871,0.951,Peak,Conventional,14734.88,0.681
DC0095,Cloud Storage,312.94,35.89,38.04,Solar,13233.78,95.05,145.09,0.818,0.513,Low,0,0.51,0.693,0.981,Medium,Balanced Approach,27533.56,0.724
DC0096,IoT Processing,190.77,138.31,96.43,Grid,13899.12,71.43,1695.27,0.172,0.651,High,1,0.802,0.665,0.827,Low,Conventional,18916.57,0.696
DC0097,AI Training,236.64,40.99,9.38,Hybrid,1032.02,39.85,904.19,0.808,0.89,Low,1,0.639,0.798,0.919,High,Energy-Efficient Focus,153308.83,0.744
DC0098,AI Training,376.26,107.63,68.86,Wind,43662.78,55.05,717.67,0.693,0.44,Medium,0,0.931,0.936,0.763,High,Conventional,99685.41,0.966
DC0099,Web Hosting,27.97,20.24,49.63,Hybrid,39837.15,68.12,1115.63,0.556,0.901,Quantum-Safe,1,0.642,0.524,0.604,Low,Carbon-Neutral Objective,71863.96,0.83
DC0100,IoT Processing,133.69,90.62,39.07,Grid,31739.12,55.95,228.14,0.7,0.751,Quantum-Safe,0,0.843,0.693,0.762,Medium,Conventional,86581.94,0.895
DC0101,AI Training,359.54,151.48,63.45,Solar,37763.02,20.8,1525.46,0.412,0.489,Low,1,0.837,0.579,0.778,High,Performance-Driven Strategy,186144.61,0.796
DC0102,Database Queries,448.65,70.17,70.53,Grid,8450.38,38.09,1185.75,0.138,0.603,Medium,1,0.611,0.848,0.871,Low,Balanced Approach,182596.6,0.612
DC0103,Cloud Storage,260.72,133.32,0.93,Solar,23457.86,82.22,413.85,0.666,0.326,Low,0,0.517,0.553,0.61,Renewable Boost,Performance-Driven Strategy,144556.91,0.626
DC0104,Cloud Storage,270.74,159.29,17.11,Hybrid,18209.75,87.53,417.05,0.525,0.984,High,0,0.705,0.832,0.684,Renewable Boost,Carbon-Neutral Objective,177513.06,0.815
DC0105,Web Hosting,62.51,185.51,71.45,Grid,5595.05,22.36,409.28,0.639,0.667,Quantum-Safe,1,0.645,0.643,0.682,Low,Performance-Driven Strategy,67331.37,0.888
DC0106,Web Hosting,229.23,47.69,66.81,Wind,24820.39,95.71,161.15,0.338,0.044,Quantum-Safe,1,0.904,0.599,0.98,Peak,Performance-Driven Strategy,79316.32,0.686
DC0107,Database Queries,270.98,80.46,96.62,Wind,46116.24,39.59,1196.21,0.907,0.327,Medium,1,0.9,0.968,0.722,Renewable Boost,Conventional,124673.88,0.889
DC0108,AI Training,128.81,31.33,76.22,Grid,2962.9,69.61,1688.68,0.587,0.623,High,0,0.729,0.509,0.878,Peak,Balanced Approach,126607.06,0.924
DC0109,Database Queries,141.93,198.5,95.1,Grid,15281.58,77.66,84.12,0.085,0.056,Medium,1,0.803,0.719,0.875,Medium,Energy-Efficient Focus,98931.47,0.765
DC0110,Web Hosting,194.87,185.47,70.4,Hybrid,11169.51,83.08,145.56,0.45,0.024,Low,1,0.802,0.511,0.633,Peak,Balanced Approach,83128.28,0.899
DC0111,Web Hosting,19.83,108.45,30.16,Solar,12669.19,95.12,1166.9,0.756,0.45,Medium,0,0.914,0.742,0.786,Peak,Performance-Driven Strategy,197305.16,0.762
DC0112,Database Queries,167.82,168.56,10.98,Grid,45513.29,38.16,1648.02,0.794,0.333,Quantum-Safe,1,0.713,0.751,0.947,Medium,Energy-Efficient Focus,165119.11,0.871
DC0113,AI Training,113.61,104.67,78.29,Solar,23935.38,87.27,687.14,0.495,0.438,Low,1,0.638,0.661,0.738,Renewable Boost,Energy-Efficient Focus,89821.14,0.906
DC0114,AI Training,170.47,125.09,64.59,Grid,23848.67,21.85,731.75,0.895,0.263,Low,0,0.633,0.566,0.973,Peak,Carbon-Neutral Objective,146822.03,0.997
DC0115,IoT Processing,68.68,18.74,5.29,Wind,38268.21,73.45,1212.88,0.268,0.165,Medium,0,0.768,0.688,0.607,Renewable Boost,Performance-Driven Strategy,57564.53,0.738
DC0116,Web Hosting,446.36,151.3,36.33,Wind,8570.12,76.78,584.72,0.411,0.689,Medium,0,0.725,0.836,0.537,Peak,Carbon-Neutral Objective,24533.02,0.764
DC0117,AI Training,300.86,26.41,95.7,Hybrid,24876.0,71.0,101.89,0.899,0.515,Quantum-Safe,1,0.72,0.891,0.946,Peak,Carbon-Neutral Objective,73724.05,0.666
DC0118,Cloud Storage,342.76,165.39,50.29,Hybrid,22069.28,32.71,1483.7,0.896,0.2,Medium,0,0.546,0.765,0.924,Low,Conventional,83579.7,0.682
DC0119,Cloud Storage,396.69,156.62,43.56,Grid,30248.62,88.57,1270.02,0.686,0.32,Quantum-Safe,0,0.859,0.795,0.996,Low,Performance-Driven Strategy,8224.74,0.877
DC0120,Cloud Storage,254.24,142.04,46.04,Grid,49978.33,25.2,1182.47,0.859,0.592,Medium,1,0.607,0.6,0.84,Medium,Balanced Approach,163884.44,0.967
DC0121,Database Queries,52.59,8.2,21.28,Solar,38703.0,14.83,1496.28,0.089,0.072,Quantum-Safe,1,0.598,0.644,0.968,Peak,Carbon-Neutral Objective,75042.71,0.758
DC0122,IoT Processing,273.18,61.32,37.19,Wind,20495.42,74.57,1366.7,0.865,0.147,Low,0,0.706,0.581,0.913,High,Carbon-Neutral Objective,118181.54,0.672
DC0123,AI Training,297.55,53.36,37.3,Solar,41550.1,52.79,451.47,0.321,0.073,Low,1,0.614,0.625,0.922,High,Energy-Efficient Focus,19422.82,0.714
DC0124,Web Hosting,375.27,72.67,5.71,Hybrid,9364.71,86.42,737.34,0.178,0.812,Medium,1,0.792,0.612,0.785,Medium,Carbon-Neutral Objective,39124.38,0.782
DC0125,Database Queries,221.51,18.44,76.87,Wind,2492.72,44.51,295.91,0.239,0.752,Medium,1,0.686,0.76,0.691,Medium,Balanced Approach,178490.28,0.716
DC0126,Database Queries,72.51,187.45,41.94,Wind,11017.97,25.15,303.22,0.418,0.753,High,0,0.724,0.781,0.967,Renewable Boost,Energy-Efficient Focus,123694.07,0.693
DC0127,Cloud Storage,149.05,111.21,82.31,Solar,17680.17,85.28,1368.58,0.251,0.716,Low,0,0.769,0.972,0.716,Low,Carbon-Neutral Objective,190305.39,0.894
DC0128,Database Queries,187.91,61.8,85.11,Solar,26018.46,59.4,1724.27,0.321,0.669,Quantum-Safe,1,0.602,0.598,0.769,Renewable Boost,Conventional,199756.26,0.603
DC0129,Web Hosting,326.5,80.0,21.59,Hybrid,31141.33,27.03,1927.33,0.135,0.477,Low,0,0.578,0.821,0.723,Medium,Carbon-Neutral Objective,77512.72,0.816
DC0130,AI Training,289.68,89.99,65.91,Solar,45619.68,74.83,1275.28,0.296,0.642,High,1,0.94,0.909,0.782,Low,Energy-Efficient Focus,63266.6,0.918
DC0131,Database Queries,184.49,120.52,47.49,Grid,25982.85,56.0,409.0,0.572,0.038,Quantum-Safe,0,0.717,0.78,0.735,Peak,Carbon-Neutral Objective,172379.43,0.706
DC0132,IoT Processing,493.39,103.62,88.08,Solar,25562.51,64.39,256.02,0.442,0.621,Low,0,0.706,0.628,0.524,High,Performance-Driven Strategy,199729.23,0.841
DC0133,AI Training,306.83,183.96,21.97,Hybrid,3461.91,51.48,1635.06,0.347,0.778,High,0,0.518,0.631,0.941,Low,Performance-Driven Strategy,127780.04,0.868
DC0134,IoT Processing,126.24,99.9,67.94,Grid,2710.67,84.58,1178.58,0.746,0.5,Quantum-Safe,0,0.749,0.52,0.722,Peak,Energy-Efficient Focus,160052.44,0.862
DC0135,Database Queries,59.87,198.44,60.97,Wind,28006.84,84.66,1255.66,0.894,0.358,Medium,1,0.777,0.653,0.794,Peak,Energy-Efficient Focus,157440.44,0.778
DC0136,Web Hosting,84.9,170.43,29.88,Solar,22470.75,73.84,1573.85,0.757,0.277,Low,0,0.779,0.872,0.57,Medium,Balanced Approach,74291.24,0.739
DC0137,Web Hosting,130.52,42.49,14.09,Solar,42119.84,19.49,1421.39,0.332,0.643,Quantum-Safe,0,0.854,0.524,0.502,Low,Conventional,116982.72,0.934
DC0138,Web Hosting,88.73,186.19,65.34,Solar,8873.3,85.5,1677.19,0.744,0.693,Medium,1,0.589,0.61,0.623,Medium,Performance-Driven Strategy,167446.1,0.903
DC0139,Cloud Storage,101.42,24.16,73.99,Hybrid,2223.61,70.39,159.62,0.152,0.871,Low,1,0.626,0.853,0.852,Peak,Balanced Approach,139182.21,0.729
DC0140,Cloud Storage,149.7,163.67,31.9,Grid,23002.9,72.73,1507.67,0.13,0.342,Low,1,0.905,0.891,0.55,Low,Performance-Driven Strategy,9126.94,0.641
DC0141,AI Training,94.95,76.74,64.66,Solar,12636.45,42.67,1709.16,0.346,0.77,Quantum-Safe,0,0.974,0.728,0.954,Renewable Boost,Balanced Approach,70657.61,0.629
DC0142,Database Queries,449.42,175.72,39.82,Wind,3431.1,89.14,607.96,0.808,0.561,High,1,0.568,0.849,0.608,Renewable Boost,Balanced Approach,33172.76,0.638
DC0143,Web Hosting,49.31,173.74,71.46,Solar,36505.32,75.28,1298.87,0.246,0.883,Medium,1,0.749,0.694,0.602,Renewable Boost,Energy-Efficient Focus,50429.58,0.833
DC0144,Cloud Storage,267.01,161.38,20.32,Wind,6468.06,20.13,662.62,0.063,0.528,Medium,0,0.607,0.58,0.591,Renewable Boost,Carbon-Neutral Objective,181570.45,0.621
DC0145,AI Training,211.09,158.22,89.08,Solar,30807.66,46.7,1918.04,0.132,0.518,Medium,1,0.53,0.699,0.507,Medium,Balanced Approach,12194.19,0.735
DC0146,Web Hosting,491.37,61.63,29.1,Grid,14771.44,89.77,115.18,0.859,0.578,Low,1,0.663,0.79,0.886,Peak,Balanced Approach,47861.14,0.901
DC0147,IoT Processing,64.9,17.1,37.09,Grid,9501.31,14.25,1180.6,0.634,0.749,Medium,0,0.572,0.974,0.938,Low,Carbon-Neutral Objective,65366.02,0.718
DC0148,Web Hosting,204.95,81.19,6.28,Wind,19607.82,96.53,374.68,0.253,0.965,Medium,0,0.855,0.534,0.807,Renewable Boost,Conventional,125292.39,0.905
DC0149,Cloud Storage,485.04,35.53,11.6,Hybrid,40270.84,71.12,1438.83,0.555,0.074,Low,1,0.767,0.754,0.594,Low,Performance-Driven Strategy,109149.83,0.898
